pair,event1,event2,n,east_km,north_km,depth_diff_km,event2_minus_event1_origin_time_shift_s,horizontal_km,separation_3d_km,east_sigma_km,north_sigma_km,depth_sigma_km,horizontal_p16_km,horizontal_p50_km,horizontal_p84_km,separation_3d_p16_km,separation_3d_p50_km,separation_3d_p84_km,separation_3d_minus_sigma_km,separation_3d_plus_sigma_km,event2_minus_event1_origin_time_shift_p16_s,event2_minus_event1_origin_time_shift_p50_s,event2_minus_event1_origin_time_shift_p84_s,event2_minus_event1_origin_time_shift_sigma_s,median_abs_fit_residual_s,residual_rms_s,bootstrap_iterations,location_reference,centroid_location_mode,phase_set,relative_location_depth_mode,status
P30,723,739,13,0.12619034363610118,0.20692789440750742,0.0,1.9442412594553686,0.2423698750070269,0.2423698750070269,0.06444264171647819,0.07530070932632632,0.0,0.23986355606282278,0.2458830721957998,0.2948793446845575,0.23986355606282278,0.2458830721957998,0.2948793446845575,0.006019516132977021,0.04899627248875771,1.9406617900360634,1.9427907942655203,1.9443332816429364,0.0017360754027545453,0.0028977924607694024,0.006532256688147271,200,relocated_centroid,fixed_depth,no_pkikp,fixed_common,
P31,723,757,10,-0.20375948958612777,-0.1561778477257847,0.0,1.7919262758302295,0.2567283578350037,0.2567283578350037,0.15218695927935544,0.17373765794707394,0.0,0.11753552459686047,0.246106812363746,0.27010500382979113,0.11753552459686047,0.246106812363746,0.27010500382979113,0.12857128776688553,0.02399819146604512,1.7902899540219424,1.7926883142580452,1.7932700942322204,0.0020294939483811248,0.0030768635855503543,0.008257621753111321,200,relocated_centroid,fixed_depth,no_pkikp,fixed_common,
P33,725,749,9,-0.47239710964976644,-0.12975867722480883,0.0,0.6347002293402562,0.4898942166637463,0.4898942166637463,0.29265770080068754,0.6670737343499379,0.0,0.44775237569477716,0.4898942166637463,0.7381181020204246,0.44775237569477716,0.4898942166637463,0.7381181020204246,0.04214184096896911,0.24822388535667833,0.6296891696946728,0.6347002293402562,0.6362734747665474,0.005259660320853148,0.002117086613486056,0.034088493375510405,200,relocated_centroid,fixed_depth,no_pkikp,fixed_common,
P34,726,753,16,0.07668358411082266,0.029401426368995676,0.0,0.754103466329126,0.08212682840955864,0.08212682840955864,0.0634839800861759,0.06367613556240379,0.0,0.08208459184645747,0.08953037699617662,0.13657754586951804,0.08208459184645747,0.08953037699617662,0.13657754586951804,0.00744578514971915,0.04704716887334141,0.7524906702107236,0.7538010044802079,0.7550447368974309,0.0014923775008588063,0.0021210815906389222,0.007551029713279588,200,relocated_centroid,fixed_depth,no_pkikp,fixed_common,
P35,727,752,10,0.06003302398506205,0.20914113521009425,0.0,3.0039467111968072,0.21758671468120006,0.21758671468120006,0.08632823158223725,0.11751816502345251,0.0,0.16452106992537355,0.21758671468120006,0.25489018761106497,0.16452106992537355,0.21758671468120006,0.25489018761106497,0.05306564475582651,0.03730347292986491,3.003511673527013,3.004804788982687,3.0055912736138644,0.0012470302463974616,0.0014893384064516935,0.005700784237150834,200,relocated_centroid,fixed_depth,no_pkikp,fixed_common,
P37,731,747,17,0.4215401904496878,0.46291502425524855,0.0,-1.4034109359817037,0.6260882141085203,0.6260882141085203,0.17204288946780638,0.2596081663191323,0.0,0.5499135851455935,0.6260882141085203,0.6679306046266689,0.5499135851455935,0.6260882141085203,0.6679306046266689,0.07617462896292682,0.04184239051814853,-1.4146903957722663,-1.407888542620864,-1.4030683492969036,0.006444044712212137,0.007549859289381629,0.02061906952615093,200,relocated_centroid,fixed_depth,no_pkikp,fixed_common,
P38,732,750,23,0.21058170832462864,-0.1567332769940455,0.0,0.6099885584701193,0.2625070970435107,0.2625070970435107,0.07642443239763724,0.05856170962202419,0.0,0.23519603873295689,0.2717165121778826,0.33832930001768885,0.23519603873295689,0.2717165121778826,0.33832930001768885,0.03652047344492573,0.06661278783980623,0.607883432506738,0.6104019321438806,0.6133604809189029,0.0029835111312237223,0.006278042654858445,0.023814480272677525,200,relocated_centroid,fixed_depth,no_pkikp,fixed_common,
P39,733,745,10,-0.030734717355532362,-1.0695552148287282,0.0,-2.131960710816754,1.069996719816585,1.069996719816585,0.22237049211005297,0.34523370658023833,0.0,1.0548584667840242,1.069996719816585,1.2164743979962833,1.0548584667840242,1.069996719816585,1.2164743979962833,0.015138253032560778,0.14647767817969837,-2.139763642551734,-2.131960710816754,-2.1310368395814185,0.004019667557724544,0.00398130149058255,0.015664868569312457,200,relocated_centroid,fixed_depth,no_pkikp,fixed_common,
P51,718,848,7,-0.06563166578774426,-0.020055337125868822,0.0,-4.497358807969033,0.06862748794256142,0.06862748794256142,0.0989451593827888,0.1252475555631846,0.0,0.031717214263428835,0.06862748794256142,0.16245196599041017,0.031717214263428835,0.06862748794256142,0.16245196599041017,0.036910273679132584,0.09382447804784876,-4.497547683871432,-4.496262174042867,-4.494986830912987,0.001538902579063318,0.002371977709286443,0.010532727967468077,200,relocated_centroid,fixed_depth,no_pkikp,fixed_common,
P79,720,845,9,-0.1489088358820574,-0.12439457116170734,0.0,-2.956485556043136,0.1940305407358712,0.1940305407358712,0.052008502148236414,0.05352199478263965,0.0,0.1513385212193761,0.19403054084229515,0.221368515604582,0.1513385212193761,0.19403054084229515,0.221368515604582,0.04269201962291905,0.02733797476228686,-2.9570618145332017,-2.956183703787678,-2.9551566243957055,0.0014199806615464614,0.0013518039379912744,0.011299046859557545,200,relocated_centroid,fixed_depth,no_pkikp,fixed_common,
