pair,event1,event2,n,east_km,north_km,depth_diff_km,event2_minus_event1_origin_time_shift_s,horizontal_km,separation_3d_km,east_sigma_km,north_sigma_km,depth_sigma_km,horizontal_p16_km,horizontal_p50_km,horizontal_p84_km,separation_3d_p16_km,separation_3d_p50_km,separation_3d_p84_km,separation_3d_minus_sigma_km,separation_3d_plus_sigma_km,event2_minus_event1_origin_time_shift_p16_s,event2_minus_event1_origin_time_shift_p50_s,event2_minus_event1_origin_time_shift_p84_s,event2_minus_event1_origin_time_shift_sigma_s,median_abs_fit_residual_s,residual_rms_s,bootstrap_iterations,location_reference,centroid_location_mode,phase_set,relative_location_depth_mode
P30,723,739,16,0.1997529991169733,0.17556982119235398,0.0,1.9393885124216546,0.26594364585329106,0.26594364585329106,0.07279872822656545,0.0820919321549442,0.0,0.25532997734740787,0.26594364585329106,0.29685589012680963,0.25532997734740787,0.26594364585329106,0.29685589012680963,0.01061366850588319,0.030912244273518574,1.9382823043144053,1.9404812949865695,1.9428265334636978,0.0024495407291182073,0.00393952281157069,0.02689811832076437,200,relocated_centroid,fixed_depth,no_pkikp,fixed_common
P31,723,757,12,-0.21346370527070224,-0.07628825774589287,0.0,1.790921222570872,0.22668624073331187,0.22668624073331184,0.10752077158826207,0.1355193995527319,0.0,0.15135318265789205,0.22668624073331184,0.28811695414599936,0.15135318265789205,0.22668624073331184,0.28811695414599936,0.07533305807541979,0.06143071341268752,1.7892569323406904,1.7917724113649056,1.7930889150386728,0.002276650150602689,0.0038939222392673865,0.020484414434419968,200,relocated_centroid,fixed_depth,no_pkikp,fixed_common
P33,725,749,13,-0.4695917668767143,-0.3523007056070562,0.0,0.6296029734573765,0.5870538430924578,0.5870538430924578,0.19665002183730235,0.216989007032225,0.0,0.5188155273196187,0.5870538430924578,0.6654959112229893,0.5188155273196187,0.5870538430924578,0.6654959112229893,0.06823831577283912,0.07844206813053156,0.6278429996969563,0.6297700665343857,0.6346152164863629,0.005138072869987158,0.006670501368958508,0.0315130730748779,200,relocated_centroid,fixed_depth,no_pkikp,fixed_common
P34,726,753,19,0.1753120599120428,0.03464879350155603,0.0,0.7507572200969731,0.17870326589549826,0.17870326589549826,0.0609951934485709,0.05311295615535875,0.0,0.10451439051410633,0.1925810811775392,0.24493168286565817,0.10451439051410633,0.1925810811775392,0.24493168286565817,0.08806669066343287,0.052350601688118975,0.7498995907117305,0.7528612536465639,0.754185487361402,0.0022022876290461687,0.0040711370138147174,0.024786721063712346,200,relocated_centroid,fixed_depth,no_pkikp,fixed_common
P35,727,752,14,0.06003302406390798,0.2091411352763295,0.0,3.004157500796877,0.21758671476661828,0.21758671476661828,0.06705575466528424,0.07816149141001481,0.0,0.16276405290492235,0.20747666492018768,0.22378418019771693,0.16276405290492235,0.20747666492018768,0.22378418019771693,0.04471261201526533,0.016307515277529244,3.0035368389997603,3.0046340718792894,3.0065032767401427,0.0015577748531443803,0.0014893384062594772,0.012255101226699745,200,relocated_centroid,fixed_depth,no_pkikp,fixed_common
P37,731,747,24,0.15097497525924708,0.2632010018667452,0.0,-1.4058935391339875,0.30342743867058014,0.3034274386705802,0.1161789665351617,0.09885393559707263,0.0,0.27859760759249247,0.3089539070531035,0.4056571177687865,0.27859760759249247,0.3089539070531035,0.4056571177687865,0.030356299460611025,0.096703210715683,-1.4125903407946916,-1.4077335946651943,-1.4040744477451859,0.00505072068589379,0.011725626392270405,0.030633271120912558,200,relocated_centroid,fixed_depth,no_pkikp,fixed_common
P38,732,750,30,0.1477651445075534,-0.22427891141637568,0.0,0.6086065838975584,0.26858065462250374,0.26858065462250374,0.09975023075671711,0.10747100470001834,0.0,0.21474271423307612,0.26858065592305924,0.346853347988197,0.21474271423307612,0.26858065592305924,0.346853347988197,0.053837941689983126,0.07827269206513776,0.6058930672999189,0.609732008493908,0.6142166154799222,0.004048722996162387,0.00982681545335804,0.02535506548222156,200,relocated_centroid,fixed_depth,no_pkikp,fixed_common
P39,733,745,17,0.14501958718694197,-0.3443556608239623,0.0,-2.132931832931588,0.3736462254718744,0.3736462254718744,0.13869267178340985,0.1344590652138654,0.0,0.3465120774599211,0.382001736034619,0.4617687389661917,0.3465120774599211,0.382001736034619,0.4617687389661917,0.035489658574697935,0.07976700293157268,-2.136149648710716,-2.1305435093397946,-2.126891843207707,0.004605947613625527,0.007111991091505131,0.01998589202337912,200,relocated_centroid,fixed_depth,no_pkikp,fixed_common
P51,718,848,14,0.027719978396479883,-0.03565335188281449,0.0,-4.503278792058843,0.0451614736559947,0.0451614736559947,0.10473136945279772,0.2088647367219285,0.0,0.0451614736559947,0.1069580020907745,0.23031318356998334,0.0451614736559947,0.1069580020907745,0.23031318356998334,0.0617965284347798,0.12335518147920885,-4.50384794514491,-4.498978638620162,-4.495040603748148,0.005134012251686362,0.00881060310503571,0.019706022641128397,200,relocated_centroid,fixed_depth,no_pkikp,fixed_common
P79,720,845,12,-0.08971332310106983,-0.07796626119688099,0.0,-2.9596098358159955,0.11885797502421627,0.11885797502421629,0.05135698235479799,0.09244023397248778,0.0,0.10573355117296812,0.11885797502421629,0.19726473737163014,0.10573355117296812,0.11885797502421629,0.19726473737163014,0.013124423851248165,0.07840676234741385,-2.960741110489682,-2.959598009331981,-2.956104897321407,0.002228348527285482,0.0043680544959217565,0.015849753903381076,200,relocated_centroid,fixed_depth,no_pkikp,fixed_common
