pair,event1,event2,phase_set,n,east_km,north_km,depth_diff_km,delta_lat_degrees,delta_lon_degrees,event1_lat,event1_lon,event1_depth_km,event1_origin_time_shift_s,event2_lat,event2_lon,event2_depth_km,event2_origin_time_shift_s,event2_minus_event1_origin_time_shift_s,horizontal_km,separation_3d_km,median_abs_fit_residual_s,residual_rms_s
P30,723,739,no_pkikp,16,0.1997529991169733,0.17556982119235398,0.0,0.0015789362938293447,0.003214566927183788,-56.025345070193005,-26.919320994449563,52.1,-0.9696942562108273,-56.02376613389918,-26.91610642752238,52.1,0.9696942562108273,1.9393885124216546,0.26594364585329106,0.26594364585329106,0.00393952281157069,0.02689811832076437
P31,723,757,no_pkikp,12,-0.21346370527070224,-0.07628825774589287,0.0,-0.0006860763320823138,-0.0034478642316814402,-56.16581017820331,-27.09849160109334,52.1,-0.895460611285436,-56.166496254535396,-27.10193946532502,52.1,0.895460611285436,1.790921222570872,0.22668624073331187,0.22668624073331184,0.0038939222392673865,0.020484414434419968
P33,725,749,no_pkikp,13,-0.4695917668767143,-0.3523007056070562,0.0,-0.0031683142731872495,-0.007399791472692815,-55.1986417540818,-28.276524425548963,23.05,-0.31480148672868824,-55.20181006835498,-28.283924217021656,23.05,0.31480148672868824,0.6296029734573765,0.5870538430924578,0.5870538430924578,0.006670501368958508,0.0315130730748779
P34,726,753,no_pkikp,19,0.1753120599120428,0.03464879350155603,0.0,0.00031160388058416324,0.0028323439267746026,-56.1758651834195,-26.848587995587437,55.6,-0.37537861004848655,-56.175553579538914,-26.84575565166066,55.6,0.37537861004848655,0.7507572200969731,0.17870326589549826,0.17870326589549826,0.0040711370138147174,0.024786721063712346
P35,727,752,no_pkikp,14,0.06003302406390798,0.2091411352763295,0.0,0.0018808501756043842,0.0009593375652069695,-55.75313034621708,-27.108463729606072,58.75,-1.5020787503984385,-55.75124949604147,-27.107504392040866,58.75,1.5020787503984385,3.004157500796877,0.21758671476661828,0.21758671476661828,0.0014893384062594772,0.012255101226699745
P37,731,747,no_pkikp,24,0.15097497525924708,0.2632010018667452,0.0,0.0023670219152546897,0.0026802198178137353,-59.56479373291399,-26.179587338988725,11.8,0.7029467695669938,-59.56242671099874,-26.176907119170913,11.8,-0.7029467695669938,-1.4058935391339875,0.30342743867058014,0.3034274386705802,0.011725626392270405,0.030633271120912558
P38,732,750,no_pkikp,30,0.1477651445075534,-0.22427891141637568,0.0,-0.0020169873772775365,0.002621182327442438,-59.53621591042691,-26.420592985500573,57.1,-0.3043032919487792,-59.538232897804185,-26.417971803173128,57.1,0.3043032919487792,0.6086065838975584,0.26858065462250374,0.26858065462250374,0.00982681545335804,0.02535506548222156
P39,733,745,no_pkikp,17,0.14501958718694197,-0.3443556608239623,0.0,-0.0030968628159895885,0.0024996805405587755,-58.54918891329168,-25.44265523976886,34.8,1.066465916465794,-58.552285776107674,-25.4401555592283,34.8,-1.066465916465794,-2.132931832931588,0.3736462254718744,0.3736462254718744,0.007111991091505131,0.01998589202337912
P51,718,848,no_pkikp,14,0.027719978396479883,-0.03565335188281449,0.0,-0.0003206380851910112,0.0004833476977662046,-58.95154654082208,-25.618779208845393,52.1,2.2516393960294216,-58.951867178907264,-25.618295861147626,52.1,-2.2516393960294216,-4.503278792058843,0.0451614736559947,0.0451614736559947,0.00881060310503571,0.019706022641128397
P79,720,845,no_pkikp,12,-0.08971332310106983,-0.07796626119688099,0.0,-0.0007011669697097981,-0.0015575480261845126,-58.801420398891615,-25.563838421791118,36.6,1.4798049179079977,-58.80212156586132,-25.565395969817303,36.6,-1.4798049179079977,-2.9596098358159955,0.11885797502421627,0.11885797502421629,0.0043680544959217565,0.015849753903381076
P112,716,852,no_pkikp,5,0.8833961299735338,0.39594452967180116,0.0,0.0035608123537191525,0.015268897647972913,-58.64870216533859,-25.201499120995667,34.6,0.8468098714374357,-58.645141352984865,-25.186230223347696,34.6,-0.8468098714374357,-1.6936197428748714,0.9680706549778484,0.9680706549778484,1.0137256028240615e-05,0.03547423258840539
P123,718,854,no_pkikp,11,-0.02379481009770812,1.1239115202454486,0.0,0.010107572464997964,-0.00041500565964349773,-58.96509933441312,-25.59602043152023,52.1,1.214974869092122,-58.954991761948115,-25.59643543717987,52.1,-1.214974869092122,-2.429949738184244,1.1241633770622583,1.1241633770622586,0.009535441470354337,0.05043822051057226
P140,719,857,no_pkikp,4,-0.09011948663882718,0.41832513666632654,0.0,0.003762085855176281,-0.0014935507630589695,-57.138203184919156,-25.191250002103892,48.0,-0.6115508472471018,-57.134441099063984,-25.19274355286695,48.0,0.6115508472471018,1.2231016944942037,0.42792223807480084,0.42792223807480084,0.005044774479921573,0.007702694629953398
P145,715,860,no_pkikp,8,0.10286726480264075,0.15952017299651455,0.0,0.0014345984351500926,0.0016590547854773807,-56.109985598097104,-26.71637751905725,61.2,2.9021748409186747,-56.10855099966195,-26.714718464271773,61.2,-2.9021748409186747,-5.8043496818373495,0.18981137942919687,0.18981137942919687,0.003844192828291644,0.010086661233299628
P321,720,905,no_pkikp,14,-0.021182988899593018,0.10575754566247798,0.0,0.0009510998305902063,-0.0003686322289451337,-58.88373121372237,-25.607550097877844,36.6,2.1874382271465143,-58.88278011389178,-25.607918730106793,36.6,-2.1874382271465143,-4.3748764542930285,0.1078581359159864,0.1078581359159864,0.003130224138093626,0.014204463759394121
P355,729,829,no_pkikp,14,0.15432236866924298,0.07075073298271284,0.0,0.0006362762083071437,0.0026009444321798934,-57.751574006896696,-25.34595664595762,43.1,0.6515510835992657,-57.750937730688385,-25.34335570152544,43.1,-0.6515510835992657,-1.3031021671985314,0.1697676638505604,0.1697676638505604,0.006181131798244439,0.01622631223461665
