pair,source_file,catalog_east_km,catalog_north_km,catalog_horizontal_km,waveform_east_km,waveform_north_km,waveform_horizontal_km,vector_difference_km,scalar_difference_km
P30,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.8_workbook_20260912_195737/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,11.880618184468853,1.317800198230055,11.953480070991342,0.1997529991169733,0.17556982119235398,0.26594364585329106,11.736579642834334,-11.68753642513805
P31,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.8_workbook_20260912_195737/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,-1.1113704249669125,-8.006190883799889,8.082959649121822,-0.21346370527070224,-0.07628825774589287,0.22668624073331187,7.980575927586534,-7.85627340838851
P33,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.8_workbook_20260912_195737/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,-14.69964919802431,-12.033659805019427,18.997069638444685,-0.4695917668767143,-0.3523007056070562,0.5870538430924578,18.410559060038974,-18.410015795352226
P34,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.8_workbook_20260912_195737/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,-6.107261532935837,-8.788798487335395,10.702411984345712,0.1753120599120428,0.03464879350155603,0.17870326589549826,10.831618201693527,-10.523708718450214
P35,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.8_workbook_20260912_195737/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,-4.841718380156124,-14.902872222103621,15.66964700754581,0.06003302406390798,0.2091411352763295,0.21758671476661828,15.88710529147469,-15.452060292779192
P37,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.8_workbook_20260912_195737/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,0.562818780566222,9.8963197559929,9.912311016741425,0.15097497525924708,0.2632010018667452,0.30342743867058014,9.641918494317755,-9.608883578070845
P38,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.8_workbook_20260912_195737/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,-3.257549347109827,-1.6693490675381717,3.6603762181155948,0.1477651445075534,-0.22427891141637568,0.26858065462250374,3.699242428245709,-3.391795563493091
P39,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.8_workbook_20260912_195737/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,-3.977064385406201,-15.013381781907333,15.531216103543644,0.14501958718694197,-0.3443556608239623,0.3736462254718744,15.237188179521032,-15.157569878071769
P51,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.8_workbook_20260912_195737/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,-0.34313901294252,4.447787796812603,4.461004446050047,0.027719978396479883,-0.03565335188281449,0.0451614736559947,4.498753263435579,-4.415842972394052
P79,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.8_workbook_20260912_195737/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,10.595188811072067,1.3196778677100751,10.677058378448182,-0.08971332310106983,-0.07796626119688099,0.11885797502421627,10.775924216879298,-10.558200403423966
P112,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.8_workbook_20260912_195737/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,5.9432296127892155,0.506936788475475,5.964810402506057,0.8833961299735338,0.39594452967180116,0.9680706549778484,5.061050696776018,-4.996739747528208
P123,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.8_workbook_20260912_195737/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,-3.1881176325414122,0.7659141549179203,3.2788288353656236,-0.02379481009770812,1.1239115202454486,1.1241633770622583,3.184509544375639,-2.1546654583033655
P140,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.8_workbook_20260912_195737/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,-0.6072583147407092,-13.032109016705517,13.046249579251462,-0.09011948663882718,0.41832513666632654,0.42792223807480084,13.460371892400387,-12.618327341176661
P145,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.8_workbook_20260912_195737/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,-7.629620148949351,3.473543447480461,8.38311443908458,0.10286726480264075,0.15952017299651455,0.18981137942919687,8.41273510029017,-8.193303059655383
P321,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.8_workbook_20260912_195737/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,6.858723789641779,3.196277057982204,7.566920050719544,-0.021182988899593018,0.10575754566247798,0.1078581359159864,7.54217661802271,-7.4590619148035575
P355,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.8_workbook_20260912_195737/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,-0.47121109395342853,-7.8948785844552285,7.908928357138822,0.15432236866924298,0.07075073298271284,0.1697676638505604,7.990152848080414,-7.7391606932882615
